"SampleID","Site","Type","Order.q","qD","qD.LCL","qD.UCL","SC_star"
"Bac_027","3","sediment_5",2,31.8497469279866,25.9967492949796,37.7027445609937,0.9957
"Bac_028","3","sediment_5",0,121.315421626947,117.469375073946,125.161468179948,0.9957
"Bac_028","3","sediment_5",1,83.201613654491,79.5567694440854,86.8464578648965,0.9957
"Bac_028","3","sediment_5",2,59.0142255491394,54.1760638050043,63.8523872932745,0.9957
"Bac_030","3","sediment_5",0,182.130021925877,177.942265670775,186.317778180979,0.9957
"Bac_030","3","sediment_5",1,132.056728657604,126.966029686718,137.14742762849,0.9957
"Bac_030","3","sediment_5",2,85.1452769513902,76.74896329342,93.5415906093605,0.9957
"Bac_087","3","tile_l",0,285.89056207614,277.955727521905,293.825396630375,0.9957
"Bac_087","3","tile_l",1,189.825085840748,184.570029182134,195.080142499362,0.9957
"Bac_087","3","tile_l",2,136.286550182711,130.177961137596,142.395139227826,0.9957
"Bac_088","3","tile_l",0,123.662951826694,117.616992124146,129.708911529242,0.9957
"Bac_088","3","tile_l",1,92.3782311480199,88.679274786353,96.0771875096868,0.9957
"Bac_088","3","tile_l",2,74.5282045449912,70.064081257268,78.9923278327145,0.9957
"Bac_089","3","tile_l",0,256.296358007135,250.953550308228,261.639165706041,0.9957
"Bac_089","3","tile_l",1,161.792022592894,156.693876992194,166.890168193594,0.9957
"Bac_089","3","tile_l",2,106.163149281942,99.8169049294643,112.509393634419,0.9957
"Bac_090","3","tile_l",0,346.806738415218,337.646098499638,355.967378330798,0.9957
"Bac_090","3","tile_l",1,221.34577446565,216.159209648069,226.532339283231,0.9957
"Bac_090","3","tile_l",2,153.071162222049,146.301778924999,159.840545519099,0.9957
"Bac_093","3","tile_l",0,457.365942281871,449.896728408809,464.835156154932,0.9957
"Bac_093","3","tile_l",1,274.504471067007,268.772869696428,280.236072437586,0.9957
"Bac_093","3","tile_l",2,168.12592690139,160.592327650436,175.659526152344,0.9957
"Bac_094","3","tile_l",0,339.948670939994,329.789714976344,350.107626903643,0.9957
"Bac_094","3","tile_l",1,208.357099245955,202.7143997003,213.99979879161,0.9957
"Bac_094","3","tile_l",2,134.999915899227,128.302123211941,141.697708586513,0.9957
"Bac_114","3","tile_d",0,346.318933522428,337.991437732068,354.646429312788,0.9957
"Bac_114","3","tile_d",1,219.783829188799,214.077811077077,225.489847300522,0.9957
"Bac_114","3","tile_d",2,138.067440845403,130.350947010783,145.783934680023,0.9957
"Bac_131","3","tile_d",0,183.457904806115,176.381228537658,190.534581074571,0.9957
"Bac_131","3","tile_d",1,113.656391193834,109.893458201228,117.41932418644,0.9957
"Bac_131","3","tile_d",2,68.6509152577985,63.5905838090382,73.7112467065588,0.9957
"Bac_134","3","tile_d",0,380.979841556954,372.333470488709,389.626212625199,0.9957
"Bac_134","3","tile_d",1,229.991201332573,223.796643943271,236.185758721875,0.9957
"Bac_134","3","tile_d",2,140.45476466216,132.513582864405,148.395946459915,0.9957
"Bac_135","3","tile_d",0,360.665123864377,351.712677092267,369.617570636487,0.9957
