"","Bac_001","Bac_002","Bac_003","Bac_004","Bac_005","Bac_006","Bac_007","Bac_008","Bac_009","Bac_010","Bac_011","Bac_012","Bac_013","Bac_014","Bac_015","Bac_016","Bac_017","Bac_018","Bac_019","Bac_020","Bac_021","Bac_022","Bac_023","Bac_024","Bac_025","Bac_026","Bac_027","Bac_028","Bac_029","Bac_030","Bac_032","Bac_033","Bac_034","Bac_035","Bac_036","Bac_037","Bac_038","Bac_039","Bac_040","Bac_041","Bac_042","Bac_043","Bac_044","Bac_045","Bac_046","Bac_047","Bac_048","Bac_049","Bac_050","Bac_051","Bac_052","Bac_053","Bac_054","Bac_055","Bac_056","Bac_057","Bac_058","Bac_059","Bac_060","Bac_061","Bac_062","Bac_063","Bac_064","Bac_065","Bac_066","Bac_068","Bac_069","Bac_070","Bac_071","Bac_072","Bac_073","Bac_074","Bac_075","Bac_076","Bac_077","Bac_078","Bac_079","Bac_080","Bac_081","Bac_082","Bac_083","Bac_084","Bac_085","Bac_086","Bac_087","Bac_088","Bac_089","Bac_090","Bac_091","Bac_092","Bac_093","Bac_094","Bac_095","Bac_096","Bac_097","Bac_098","Bac_099","Bac_100","Bac_101","Bac_102","Bac_103","Bac_104","Bac_105","Bac_106","Bac_107","Bac_108","Bac_109","Bac_110","Bac_111","Bac_112","Bac_113","Bac_114","Bac_115","Bac_116","Bac_117","Bac_118","Bac_119","Bac_120","Bac_121","Bac_122","Bac_123","Bac_124","Bac_125","Bac_126","Bac_127","Bac_128","Bac_129","Bac_130","Bac_131","Bac_132","Bac_133","Bac_134","Bac_135","Bac_136","Bac_137","Bac_138","Bac_139","Bac_140","Bac_141"
"bb6cffbd750dd68856a8f953f207e12b",0,0,0,0,0,0,0,0,0,13,0,0,56,25,0,64,0,150,61,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,196,0,42,85,12,26,0,0,0,0,79,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,86,73,105,0,87,0,462,95,0,0,0,0,0,0,0,45,8,0,0,0,0,0,0,0,0,266,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,68,0,100,154,0,0,0,0,26,0,0,20,15,0,0,0,0,0,75,6,0
"7ef1a0dae839d9d8f6a042cdf4a6a992",0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,21,0,0,28,56,110,0,0,5,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,38,0,0,64,19,201,0,0,0,0,0,0,1059,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,79,149,0,8,290,0,0,27,0,0,0,0,0,0,0,0,0,26,0,0,236,0,0,0,0,0,0,0,0,0,505,27,0,0,0,0,0,0,0,0,0,0,0,0
"d9a1ac0e75b6f11663f499d749ecead5",0,39,40,61,20,11,91,35,0,0,0,0,24,0,0,26,0,0,19,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,39,0,0,34,0,0,0,41,35,0,22,49,0,81,43,0,0,0,0,0,0,0,0,0,0,69,0,0,0,48,0,32,64,80,36,48,0,24,208,0,219,139,0,0,39,0,0,39,0,31,0,0,41,72,83,0,0,0,48,0,0,48,0,49,0,61,29,19,0,0,0,0,0,94,26,0,132,39,87,0,0,0,30,0,0,72,120,0,18,0,11,0,48
"7da83bf0ed37b029b57059c335b5e835",0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,23,14,46,53,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,23,0,0,0,0,0,0,31,0,0,0,0,229,0,51,0,0,0,0,0,0,0,0,0,24,51,61,0,38,0,68,81,0,0,0,0,0,0,0,0,45,0,0,13,0,0,162,206,0,731,267,0,33,17,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"341214f0ce87bafa7b4185f2a8905a80",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,141,56,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1976,17,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88b5b5240649749ca876d10823045b01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,160,55,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1945,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,30,16,0,0,0,0,0,0,0,0,0,0,0,0
"9b0c0ad2765ea276b0797b6b97a8119d",0,0,18,0,0,0,0,0,0,0,0,18,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,18,32,0,0,0,0,55,27,0,0,0,0,0,0,0,0,16,0,953,0,0,0,49,24,53,0,0,22,0,0,51,30,0,49,65,0,0,56,0,42,97,102,0,0,0,0,0,57,0,0,0,118,0,0,23,0,52,0,0,0,0,0,0,0,0,17,26,0,0,64,14,63,0,111,0,0,0,0,0,0,0,0,32,0,0,0
"2df133d83b53d33a81a3fc48ac2075c6",0,0,0,33,0,0,25,0,0,0,0,47,21,0,42,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,9,26,6,0,0,39,0,0,0,0,102,48,76,110,24,0,106,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,29,26,0,194,31,18,58,21,27,0,32,0,10,0,13,57,0,10,11,25,0,0,0,0,0,24,0,0,0,0,20,0,0,0,19,0,17,30,0,0,0,0,0,0,0,0,0,0,0,45,0,16,348,0,0,34,85,65,32,28,0,31,94,217,25,0
"ed894aad9c149829ff0253eb2fe043d9",0,0,0,0,0,0,0,0,0,0,0,0,91,16,0,20,0,83,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,25,50,0,12,60,0,0,9,0,0,0,49,0,0,0,0,0,0,112,0,0,0,0,0,17,0,50,0,88,122,52,13,126,0,193,128,0,0,0,10,0,0,0,18,39,0,0,17,0,0,48,131,0,350,146,8,15,0,7,35,0,0,8,0,0,7,6,0,0,0,0,0,0,13,8,28,54,17,6,11,0,0,0,11,0,15,11,0,0,0,20,35,0,0
"2c1b14313bb8fc6f13f02a14ca5e7c50",0,17,0,25,12,0,14,17,0,0,0,23,42,13,29,25,0,36,28,0,0,21,18,0,6,6,0,9,0,10,0,0,0,0,0,0,0,22,0,0,0,0,53,22,40,55,28,0,37,29,0,0,0,0,0,0,24,21,89,0,0,0,0,0,0,0,0,0,0,13,0,0,0,146,128,28,77,54,18,334,139,0,0,0,0,0,11,0,28,0,25,10,0,0,0,0,0,0,30,41,41,0,0,0,0,0,0,27,0,40,0,13,0,0,0,0,0,0,9,0,22,45,38,10,46,0,22,0,0,42,35,16,0,0,0,36,129,21,0
"11e801efba707866d1e97aba33566102",9,272,27,0,44,0,220,175,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,139,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,58,0,0,0,0,0,0,0,81,0,68,142,30,0,139,62,0,26,0,11,0,0,0,0,0,0,0,14,0,0,0,0,24,0,0,29,0,0,0,0,0,0,0,26,0,0,65,0,48,341,0,0,0,0,0,28,0,0,0,0,0,0,0
"1f4e622803186891cbacf6eebc072202",0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,24,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,2,0,64,0,0,0,0,0,0,12,0,0,0,0,0,0,62,0,0,0,0,0,0,1123,0,0,23,52,54,0,77,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,346,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,4,22,0,108,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ebff2c84f781472a24018db9354b867c",0,0,24,25,0,0,0,0,0,0,0,28,30,0,12,0,0,75,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,24,0,0,0,0,29,0,41,46,29,0,40,22,0,0,0,0,0,0,36,0,0,0,18,0,0,46,0,0,0,0,0,15,0,0,0,287,167,36,146,79,0,303,178,32,0,24,0,0,0,0,21,9,8,0,15,0,0,44,0,0,85,0,0,0,13,0,18,0,0,0,0,7,0,0,0,0,0,0,0,0,19,0,13,14,37,0,34,0,0,0,0,36,26,0,0,0,0,23,96,0,10
"a532ebbe188977ca12c2d8cc66168f2b",0,0,0,0,0,0,0,0,0,0,0,16,91,0,35,78,0,76,92,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,69,0,0,0,0,0,0,38,0,0,0,0,116,0,203,0,0,0,0,0,0,0,0,0,20,72,61,48,56,0,108,41,0,0,0,0,0,0,0,0,37,0,0,0,0,0,69,0,0,266,170,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,94,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,116,0,0
"cc3bbc2fa5dcf3ca93a25f5da49d7d1d",6,0,47,20,0,0,14,20,0,0,0,0,20,7,0,25,0,22,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,12,0,0,26,0,0,0,32,30,31,0,7,0,21,60,0,0,0,0,0,0,0,0,66,0,0,0,31,0,0,0,0,58,35,0,87,0,80,29,19,32,68,0,0,82,39,0,0,0,89,202,0,39,0,50,0,11,59,19,0,0,47,0,90,52,21,0,0,0,0,0,0,21,61,31,38,48,0,38,0,0,0,27,0,0,30,0,0,0,0,111,65,27
"554e6ed34da09de9e9a60029b084f4c6",0,0,0,0,0,0,0,0,0,0,0,32,0,0,29,0,0,0,0,0,0,0,28,23,14,17,0,26,0,29,0,0,0,0,0,0,0,7,0,0,0,0,22,17,26,33,0,0,22,0,7,0,0,9,13,0,0,25,0,0,0,0,10,0,0,0,0,0,0,51,0,0,0,0,6,0,32,0,84,0,0,234,0,369,33,0,22,0,19,0,18,14,14,12,0,38,0,0,23,0,13,0,0,0,0,0,0,42,0,44,16,28,0,25,0,0,0,0,0,6,0,0,21,33,0,0,136,0,0,20,18,33,30,0,32,98,118,24,61
"929562c168b0ee4d183e52aa04193df8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,0,316,0,227,45,0,62,0,193,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632
"3bf49d272fc70d9765ed2b530c6e6b56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,21,70,41,0,119,0,81,0,0,0,18,0,0,0,0,17,38,0,0,0,0,0,0,0,0,91,0,0,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
"5342d4711395d118f0217964e6068eb3",0,0,0,0,0,0,0,0,0,0,0,23,52,0,14,0,0,62,35,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,28,47,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,50,0,248,0,0,0,0,0,0,0,4,0,0,66,49,24,55,0,101,70,0,0,0,0,0,0,0,28,49,0,0,37,0,0,64,98,0,334,134,0,0,14,0,64,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,53,51,0,0,0,0,0,84,0,0
"3195352ebd3b497af5329b6d9bb0ad49",0,0,0,0,0,0,0,0,0,0,0,15,77,0,0,32,0,71,0,90,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,29,46,0,26,45,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,148,72,29,92,0,224,182,0,0,0,0,0,0,0,0,0,0,0,33,0,0,53,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,49,0,0,0,304,12,0,0,27,15,0,0,0,5,12,37,0,0
"34b00032b86600c60881db7136a38c3d",0,0,0,21,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27,11,57,14,6,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,25,9,0,39,0,32,19,0,0,0,0,0,0,0,0,55,0,25,0,0,0,0,0,0,23,0,0,104,0,108,82,45,69,60,0,0,122,117,0,22,44,0,144,0,0,0,14,0,0,0,0,0,0,52,13,43,9,35,0,0,0,0,0,0,0,11,0,0,28,40,14,0,29,0,15,0,0,30,61,0,87,0,0,109,66
"70285f7e5298ef76c6079d23decbae2d",0,0,0,0,0,0,0,0,0,0,0,0,96,26,0,37,0,88,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,45,0,0,41,0,26,0,0,0,0,39,0,0,0,0,0,0,169,0,0,0,0,0,0,0,23,0,91,103,51,0,65,0,187,120,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,156,0,200,68,7,12,0,11,57,0,0,0,0,9,0,0,0,0,0,0,0,0,39,0,28,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ae101a824af3ec1acd53410b8ebf41e7",0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,23,0,0,0,0,0,40,11,24,0,0,0,0,29,0,0,32,0,0,0,0,13,0,0,0,0,62,0,37,98,0,0,55,0,12,0,0,0,44,0,0,56,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,62,0,45,16,0,0,0,55,0,0,0,18,50,0,28,0,0,0,0,39,66,0,81,0,0,0,0,0,0,0,0,0,0,77,24,69,0,0,0,0,0,0,0,0,0,0,25,0,0,0,9,0,50,74,54,78,76,0,29,42,244,0,25
"35b28548f0e50edc9c9719130e98171f",0,0,0,0,0,0,0,0,0,0,8,0,44,38,0,25,0,22,0,156,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,81,0,0,115,0,0,0,0,0,0,0,0,130,0,0,0,0,165,0,0,0,0,0,0,466,0,0,0,0,63,0,0,0,89,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,70,0,0,28,0,0,0,0,0,0,0,0,23,0,73,0,81,102,0,0,0,0,0,0,0,11,0,0,0,0,30,0,0,0,0
"520887c8a0d7b1620dc2950527019205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,27,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,649,0,0,0,0,0,0,0,29,0,0,23,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,12,0,27,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,30,0
"f094f62eb5efc6e4df1c29c7d70371f5",0,0,0,0,0,0,0,0,0,0,0,24,31,0,0,20,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,24,0,0,12,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,0,47,45,0,32,29,0,59,28,0,0,0,0,0,0,0,28,0,0,0,0,0,0,73,95,0,190,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,22,0,0,0,0,0,0,0,28,25,0,0,0,0,0,97,0,0
"a7e194b4ea4b1df360fce3d3770d58ee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,91,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"1a34bae179e2c24ce983937ba9caff19",0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,15,0,9,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,1497,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,62,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,15,0
"f262a1adf251a3a793d3daa235e35e73",0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,210,73,22,138,0,599,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,28,112,0,0,0,0,0,0,0,0,0,0,0,0,0
