,Kingdom,Phylum,Class,Order,Family,Genus,Species
Bac161,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Fluviimonas,NA
Bac162,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Fluviimonas,NA
Bac163,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,Emticicia_sp.
Bac164,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,Emticicia_sp.
Bac165,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,uncultured_bacterium
Bac166,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,NA
Bac167,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,uncultured_bacterium
Bac168,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,uncultured_bacterium
Bac169,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,uncultured_bacterium
Bac170,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,uncultured_bacterium
Bac171,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,uncultured_bacterium
Bac172,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,uncultured_bacterium
Bac173,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,uncultured_bacterium
Bac174,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
Bac175,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
Bac176,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
Bac177,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
Bac178,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
Bac179,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
Bac180,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,Emticicia_aquatica
Bac181,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,uncultured_bacterium
Bac182,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
Bac183,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,Emticicia_paludis
Bac184,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,Emticicia_paludis
Bac185,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,Emticicia_paludis
Bac186,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,Emticicia_paludis
Bac187,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,uncultured_bacterium
Bac188,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,uncultured_bacterium
Bac189,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,uncultured_bacterium
Bac190,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,uncultured_bacterium
Bac191,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,uncultured_bacterium
Bac192,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
Bac193,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,NA
Bac194,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,uncultured_bacterium
