,Kingdom,Phylum,Class,Order,Family,Genus,Species
e37f6cd4a3e5235dbb2ee33c95ca8c37,Fungi,NA,NA,NA,NA,NA,NA
0f2391ae814368a77e456e4357192e31,Fungi,NA,NA,NA,NA,NA,NA
619ce925baf45bfc98be1b3fd967e9c6,Fungi,NA,NA,NA,NA,NA,NA
e2df03c4f8c4626f954265a0a08ce968,Fungi,NA,NA,NA,NA,NA,NA
1280ece21ac7c0692a7bb1cc8bae6d35,Fungi,NA,NA,NA,NA,NA,NA
b0cf35cfcfa48ab650ab34fc8d400832,Fungi,NA,NA,NA,NA,NA,NA
5bf4cdadaac2e8972239035b2488518b,Fungi,NA,NA,NA,NA,NA,NA
d81792fa7783c4a617c95a25addead96,Fungi,NA,NA,NA,NA,NA,NA
3275b74b2fef7c6d0e1ca5706616cf26,Fungi,NA,NA,NA,NA,NA,NA
15b0546879456976e9202dc7813f1674,Fungi,NA,NA,NA,NA,NA,NA
6a9dec649f4558f4886a0f94654248df,Fungi,NA,NA,NA,NA,NA,NA
da52e73ce6a667d5ce43fc6c52d597b2,Fungi,NA,NA,NA,NA,NA,NA
23c0cc00837c872bc28c6e6a16f28578,Fungi,NA,NA,NA,NA,NA,NA
f5ac546f3f0dca2721a7967f7f92d597,Fungi,NA,NA,NA,NA,NA,NA
2801b6ba400f36fcfec0cb2a995ecbd7,Fungi,NA,NA,NA,NA,NA,NA
618f9bb1bf0873abc091c1a0dd2ccc00,Fungi,NA,NA,NA,NA,NA,NA
3e18c27356ea309652ef6d946af143b2,Fungi,NA,NA,NA,NA,NA,NA
282f875960d3b69c09e686ac1778444e,Fungi,NA,NA,NA,NA,NA,NA
290b98617e677051459f355b003c756b,Fungi,NA,NA,NA,NA,NA,NA
88041aa32af78129abb4cef8cb92479c,Fungi,NA,NA,NA,NA,NA,NA
7a6c301f82a0f17e618ce2535fbc8a9a,Fungi,NA,NA,NA,NA,NA,NA
1753b5dbc7c386450d270defaf6ca0a7,Fungi,NA,NA,NA,NA,NA,NA
3080829c29c57a0870e5d1893e11ee3f,Fungi,NA,NA,NA,NA,NA,NA
a304bfd28bd74a70579a486585f86054,Fungi,NA,NA,NA,NA,NA,NA
90fcc1c25b3e7e1bddd4e2aff4d10ade,Fungi,NA,NA,NA,NA,NA,NA
8a39e8a1c875fa29b7261cfd4858b105,Fungi,NA,NA,NA,NA,NA,NA
3ae6f06d5476164b3906ed4a89b0eb1f,Fungi,NA,NA,NA,NA,NA,NA
b023a75905fe310a6495d695ba6dafed,Fungi,NA,NA,NA,NA,NA,NA
7465c43321fddd0ad3eb393b60b50fe0,Fungi,NA,NA,NA,NA,NA,NA
6fbc2bf80d3064927a2c084735c08586,Fungi,NA,NA,NA,NA,NA,NA
a1ef7e6dee57c53448e00d6bd7abd40c,Fungi,NA,NA,NA,NA,NA,NA
ac748a9bb6dbf93d8ee6a1ce2f31dd79,Fungi,NA,NA,NA,NA,NA,NA
04f9991dd37fd0b1345dda123edbb819,Fungi,NA,NA,NA,NA,NA,NA
c65793af1a0ca44319d69f61214b00da,Fungi,NA,NA,NA,NA,NA,NA
d704367877c922a91a7bce092444569f,Fungi,NA,NA,NA,NA,NA,NA
d4872bb4ed88fee9b87f6d9fa33e7ce6,Fungi,NA,NA,NA,NA,NA,NA
536498ad86c36727ebca33f47cfada00,Fungi,NA,NA,NA,NA,NA,NA
7c3adf1e717e7151c3e4d0944668bf4a,Fungi,NA,NA,NA,NA,NA,NA
0db8f097250f48cc80cfb07c997c593a,Fungi,NA,NA,NA,NA,NA,NA
b1bdee1738c5452651d205e188731854,Fungi,NA,NA,NA,NA,NA,NA
8815d0c56047a00a9d7bf3acf6baaed3,Fungi,NA,NA,NA,NA,NA,NA
00543e12911d57cf7ac432fe7d93157e,Fungi,NA,NA,NA,NA,NA,NA
9648f34a8601e09347f809f474e515f5,Fungi,NA,NA,NA,NA,NA,NA
1d17bf1949cbbfc7aa92115a19acaaad,Fungi,NA,NA,NA,NA,NA,NA
f05f02892a95e77e1faaaa23b4c62cc0,Fungi,NA,NA,NA,NA,NA,NA
b8ab937b1fbea39bad80c57920ee3e0e,Fungi,NA,NA,NA,NA,NA,NA
8c6bf581196381fedf2bfecdae2802a0,Fungi,NA,NA,NA,NA,NA,NA
e837df81a7fb9f6f31610c09196dc9d3,Fungi,NA,NA,NA,NA,NA,NA
f9a7734ca76ea32bc99c7d14494fc9f7,Fungi,NA,NA,NA,NA,NA,NA
f1c5bcddf00cd5cca74f8569ad7413b4,Fungi,NA,NA,NA,NA,NA,NA
df7de785123717f9ef96414358a6d850,Fungi,NA,NA,NA,NA,NA,NA
c23ebfd6562317e96a2012ddb51e5352,Fungi,NA,NA,NA,NA,NA,NA
241cb4a5c65f88a55cba5cc1c60df7f0,Fungi,NA,NA,NA,NA,NA,NA
8313d46d466fab6048519e7e08d2f210,Fungi,NA,NA,NA,NA,NA,NA
fc290e9a46ae51fd7f58798b35cf1c75,Fungi,NA,NA,NA,NA,NA,NA
69f95128042e447d0c32e8ffd8a19680,Fungi,NA,NA,NA,NA,NA,NA
fcbef3ebc78016295330dcec48b305f3,Fungi,NA,NA,NA,NA,NA,NA
94511a05c3e3faf1afa3c647d95bd735,Fungi,NA,NA,NA,NA,NA,NA
92dae4082fbc977033f01c30959cfc7d,Fungi,NA,NA,NA,NA,NA,NA
23660e12c45c18b91f7594580d43763c,Fungi,NA,NA,NA,NA,NA,NA
5deb9bf44d558dc85536c3c5e661bf6b,Fungi,NA,NA,NA,NA,NA,NA
ade4c5b799476fdd63f1f9b1ace1c416,Fungi,NA,NA,NA,NA,NA,NA
f7f0a927f38af74054ae1abe0f7e9979,Fungi,NA,NA,NA,NA,NA,NA
