,SampleName,Description,Type,Site,replicate,d15N,d13C,HIX,BIX,POC,DOC,TN,TP,Temp,DO,EC,qpcr
Fun_074,T074,sediment_5_1,sediment_5,1,1,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,0.757301978
Fun_075,T077,sediment_5_1,sediment_5,1,2,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,21.6130796
Fun_076,T076,sediment_5_1,sediment_5,1,2,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,9.066100876
Fun_077,T071,tile_d_4,tile_d,4,2,1.6661429,-24.93143,3.64,0.77,164.6,74,44.48,0.18,12.8,9.91,13.73,1.304896162
Fun_078,T073,sediment_5_1,sediment_5,1,1,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,0.110939096
Fun_079,T072,tile_d_4,tile_d,4,2,1.6661429,-24.93143,3.64,0.77,164.6,74,44.48,0.18,12.8,9.91,13.73,35.51714556
Fun_080,T068,tile_d_4,tile_d,4,1,1.6661429,-24.93143,3.64,0.77,164.6,74,44.48,0.18,12.8,9.91,13.73,15.43654994
Fun_081,T067,tile_d_4,tile_d,4,1,1.6661429,-24.93143,3.64,0.77,164.6,74,44.48,0.18,12.8,9.91,13.73,0.250872857
Fun_082,T065,tile_d_3,tile_d,3,2,0.8741429,-25.13643,3.64,0.71,64.37,63,14.35,0.15,14.1,10.05,6.65,7.488245657
Fun_083,T070,tile_d_4,tile_d,4,2,1.6661429,-24.93143,3.64,0.77,164.6,74,44.48,0.18,12.8,9.91,13.73,0.371025273
Fun_084,T069,tile_d_4,tile_d,4,1,1.6661429,-24.93143,3.64,0.77,164.6,74,44.48,0.18,12.8,9.91,13.73,34.34136828
Fun_085,T064,tile_d_3,tile_d,3,2,0.8741429,-25.13643,3.64,0.71,64.37,63,14.35,0.15,14.1,10.05,6.65,4.601746325
Fun_086,T066,tile_d_3,tile_d,3,2,0.8741429,-25.13643,3.64,0.71,64.37,63,14.35,0.15,14.1,10.05,6.65,12.45500478
Fun_087,T026,tile_l_1,tile_l,1,1,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,21.93850531
Fun_088,T025,tile_l_1,tile_l,1,1,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,68.29845423
Fun_089,T024,leaf_4,leaf,4,2,1.6661429,-24.93143,3.64,0.77,164.6,74,44.48,0.18,12.8,9.91,13.73,1281.735986
Fun_090,T028,tile_l_1,tile_l,1,2,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,1.020356348
Fun_091,T027,tile_l_1,tile_l,1,1,1.2911429,-25.19043,4.24,0.71,64.19,39,4.43,0.08,7.8,10.79,2.33,2.64213873
Fun_092,T022,leaf_4,leaf,4,2,1.6661429,-24.93143,3.64,0.77,164.6,74,44.48,0.18,12.8,9.91,13.73,1885.360826
Fun_093,T107,sediment_20_4,sediment_20,4,2,2.5631429,-25.90543,3.05,0.78,4538.28,98,47.36,0.19,12.8,9.91,13.73,0.162199057
Fun_094,T023,leaf_4,leaf,4,2,1.6661429,-24.93143,3.64,0.77,164.6,74,44.48,0.18,12.8,9.91,13.73,2918.797771
Fun_096,T106,sediment_20_4,sediment_20,4,2,2.5631429,-25.90543,3.05,0.78,4538.28,98,47.36,0.19,12.8,9.91,13.73,0.037434859
Fun_097,T061,tile_d_3,tile_d,3,1,0.8741429,-25.13643,3.64,0.71,64.37,63,14.35,0.15,14.1,10.05,6.65,2.308399254
Fun_098,T060,tile_d_2,tile_d,2,2,-0.3348571,-26.91543,5.24,0.67,197.08,94,16.35,0.17,10.5,11.1,5.43,1.018556417
Fun_099,T058,tile_d_2,tile_d,2,2,-0.3348571,-26.91543,5.24,0.67,197.08,94,16.35,0.17,10.5,11.1,5.43,2.8668497
Fun_100,T063,tile_d_3,tile_d,3,1,0.8741429,-25.13643,3.64,0.71,64.37,63,14.35,0.15,14.1,10.05,6.65,1.485670649
Fun_101,T062,tile_d_3,tile_d,3,1,0.8741429,-25.13643,3.64,0.71,64.37,63,14.35,0.15,14.1,10.05,6.65,5.930825204
Fun_102,T103,sediment_20_4,sediment_20,4,1,2.5631429,-25.90543,3.05,0.78,4538.28,98,47.36,0.19,12.8,9.91,13.73,1.035137603
Fun_103,T059,tile_d_2,tile_d,2,2,-0.3348571,-26.91543,5.24,0.67,197.08,94,16.35,0.17,10.5,11.1,5.43,1.076083691
Fun_104,T057,tile_d_2,tile_d,2,1,-0.3348571,-26.91543,5.24,0.67,197.08,94,16.35,0.17,10.5,11.1,5.43,8.932070796
Fun_105,T104,sediment_20_4,sediment_20,4,1,2.5631429,-25.90543,3.05,0.78,4538.28,98,47.36,0.19,12.8,9.91,13.73,0.281770368
Fun_106,T105,sediment_20_4,sediment_20,4,2,2.5631429,-25.90543,3.05,0.78,4538.28,98,47.36,0.19,12.8,9.91,13.73,4.625290291
