"SampleID","Site","Type","Order.q","qD","qD.LCL","qD.UCL","SC_star"
"T030","1","tile_l",0,154.858164927614,148.951392790663,160.764937064565,0.999
"T030","1","tile_l",1,72.6560548988386,69.9280664560908,75.3840433415863,0.999
"T030","1","tile_l",2,42.0946835692821,39.548729544645,44.6406375939192,0.999
"T049","1","tile_d",0,286.848289271886,280.978049857989,292.718528685782,0.999
"T049","1","tile_d",1,172.41889438684,166.442777079615,178.395011694065,0.999
"T049","1","tile_d",2,107.04574433947,100.89188915144,113.199599527499,0.999
"T050","1","tile_d",0,413.56386126611,411.247819836059,415.879902696161,0.999
"T050","1","tile_d",1,210.079598863563,205.613083461159,214.546114265968,0.999
"T050","1","tile_d",2,86.991536637205,82.6615294138961,91.321543860514,0.999
"T051","1","tile_d",0,150.933141298702,146.150630203409,155.715652393995,0.999
"T051","1","tile_d",1,76.8334520581263,71.9988117057912,81.6680924104613,0.999
"T051","1","tile_d",2,28.5753538585764,24.2726555024217,32.8780522147311,0.999
"T053","1","tile_d",0,607.052398788074,605.759632464124,608.345165112023,0.999
"T053","1","tile_d",1,332.671478209309,329.791630409992,335.551326008625,0.999
"T053","1","tile_d",2,146.134116328455,143.088285899206,149.179946757703,0.999
"T054","1","tile_d",0,605.159427461502,603.061872858202,607.256982064801,0.999
"T054","1","tile_d",1,37.2402604093359,36.6420439077639,37.8384769109078,0.999
"T054","1","tile_d",2,7.47037502283224,7.38034805792088,7.56040198774361,0.999
"T073","1","sediment_5",0,62.3568568963741,60.3185406030062,64.3951731897419,0.999
"T073","1","sediment_5",1,25.9912085170398,25.6471463958871,26.3352706381924,0.999
"T073","1","sediment_5",2,20.8568368824232,20.4692980260622,21.2443757387843,0.999
"T074","1","sediment_5",0,83.1543078065584,82.1837380615211,84.1248775515957,0.999
"T074","1","sediment_5",1,52.1852782518455,51.8299907052342,52.5405657984568,0.999
"T074","1","sediment_5",2,34.751483719433,34.330959435605,35.1720080032609,0.999
"T075","1","sediment_5",0,62.4145695851872,61.3222864643749,63.5068527059994,0.999
"T075","1","sediment_5",1,49.4248580392895,48.9683031828123,49.8814128957667,0.999
"T075","1","sediment_5",2,43.6339771487059,43.0082539863814,44.2597003110304,0.999
"T076","1","sediment_5",0,76.8379062006616,70.8777204536573,82.798091947666,0.999
"T076","1","sediment_5",1,49.3825994183162,47.7761147536055,50.9890840830268,0.999
"T076","1","sediment_5",2,37.1119695702512,34.8982783198602,39.3256608206423,0.999
"T077","1","sediment_5",0,406.342386738911,404.808702856253,407.876070621569,0.999
"T077","1","sediment_5",1,246.106950820044,244.476620184817,247.737281455271,0.999
"T077","1","sediment_5",2,140.07742626657,138.023473238948,142.131379294192,0.999
"T090","1","sediment_20",0,70.595535331028,69.6346289822823,71.5564416797737,0.999
"T090","1","sediment_20",1,52.3099532869148,52.017280028291,52.6026265455387,0.999
"T090","1","sediment_20",2,44.584510315503,44.1706517062995,44.9983689247065,0.999
"T094","1","sediment_20",0,111.544810155071,106.621421968267,116.468198341875,0.999
"T094","1","sediment_20",1,53.4894400380815,51.5829343484323,55.3959457277306,0.999
"T094","1","sediment_20",2,31.7240015949855,29.8473152048921,33.6006879850789,0.999
"T007","2","leaf",0,72.3696070888887,69.3116861793135,75.427527998464,0.999
"T007","2","leaf",1,21.4357112545923,20.5854801442723,22.2859423649123,0.999
"T007","2","leaf",2,10.8258044295548,10.2332186067331,11.4183902523765,0.999
"T012","2","leaf",0,49.4381862738752,47.8719082574222,51.0044642903282,0.999
"T012","2","leaf",1,22.6659567853778,21.7141384991835,23.6177750715721,0.999
"T012","2","leaf",2,13.1673047146504,12.2830725962766,14.0515368330243,0.999
"T031","2","tile_l",0,420.706144093033,418.82476601902,422.587522167046,0.999
"T031","2","tile_l",1,144.423857980236,140.10686645945,148.740849501022,0.999
"T031","2","tile_l",2,33.504164936985,31.6040038004488,35.4043260735213,0.999
"T032","2","tile_l",0,217.891257200961,210.763043140542,225.01947126138,0.999
"T032","2","tile_l",1,81.0229624124433,76.514434006103,85.5314908187835,0.999
"T032","2","tile_l",2,25.986264507064,23.404500489896,28.5680285242321,0.999
"T033","2","tile_l",0,745.298579957834,742.8828062887,747.714353626968,0.999
"T033","2","tile_l",1,179.109304076096,175.296253677843,182.92235447435,0.999
"T033","2","tile_l",2,32.1386742068035,30.9664585174175,33.3108898961894,0.999
"T034","2","tile_l",0,475.320004681568,467.363206622731,483.276802740404,0.999
"T034","2","tile_l",1,41.8485157418905,39.8289672664059,43.868064217375,0.999
"T034","2","tile_l",2,5.06130284616903,4.86844230880165,5.25416338353641,0.999
"T035","2","tile_l",0,757.445641157954,753.090273758004,761.801008557903,0.999
"T035","2","tile_l",1,110.904748394893,108.595302359799,113.214194429986,0.999
"T035","2","tile_l",2,25.9018500754915,25.2524705799043,26.5512295710788,0.999
"T055","2","tile_d",0,564.718789193095,557.939554018064,571.498024368126,0.999
"T055","2","tile_d",1,142.538137014506,138.230613587118,146.845660441895,0.999
"T055","2","tile_d",2,31.0577121583182,29.4321592957744,32.6832650208621,0.999
"T056","2","tile_d",0,455.68781918231,453.708822874567,457.666815490052,0.999
"T056","2","tile_d",1,121.492551396566,117.738635767021,125.246467026112,0.999
"T056","2","tile_d",2,19.0857057751131,18.157823163363,20.0135883868632,0.999
"T057","2","tile_d",0,1353.40182635879,1347.33796134348,1359.46569137409,0.999
"T057","2","tile_d",1,179.549223633364,175.859099006417,183.239348260311,0.999
"T057","2","tile_d",2,15.8603287644428,15.4509664632061,16.2696910656796,0.999
"T058","2","tile_d",0,699.012335854175,695.847837152834,702.176834555516,0.999
"T058","2","tile_d",1,99.7320621956928,96.9240107343733,102.540113657012,0.999
"T058","2","tile_d",2,15.3943452112239,14.8722664638312,15.9164239586166,0.999
"T059","2","tile_d",0,455.774583836786,452.664129047242,458.88503862633,0.999
