"SampleID","Site","Type","Order.q","qD","qD.LCL","qD.UCL","SC_star"
"Euk_013","1","tile_d",1,31.1196711678325,30.6105209072347,31.6288214284302,0.999
"Euk_013","1","tile_d",2,23.5468511725285,23.1216300629814,23.9720722820756,0.999
"Euk_014","1","tile_d",0,24.270458230003,22.4720885825343,26.0688278774716,0.999
"Euk_014","1","tile_d",1,12.7298451081256,12.4586482113483,13.0010420049028,0.999
"Euk_014","1","tile_d",2,11.0544300215624,10.7826191606737,11.3262408824512,0.999
"Euk_016","1","tile_d",0,48.8514973854484,46.0295176414079,51.6734771294888,0.999
"Euk_016","1","tile_d",1,19.6133715717324,19.167407308343,20.0593358351219,0.999
"Euk_016","1","tile_d",2,13.0406869485581,12.592008098245,13.4893657988713,0.999
"Euk_018","1","tile_d",0,70.2228092396891,67.4842347453907,72.9613837339876,0.999
"Euk_018","1","tile_d",1,26.6642952901438,26.2038805274625,27.124710052825,0.999
"Euk_018","1","tile_d",2,18.4946360184527,17.983113380028,19.0061586568773,0.999
"Euk_019","1","tile_d",0,54.2772193130638,51.9815550334404,56.5728835926872,0.999
"Euk_019","1","tile_d",1,20.5079784020196,20.0145237385247,21.0014330655145,0.999
"Euk_019","1","tile_d",2,15.2716886600213,14.832399777279,15.7109775427637,0.999
"Euk_049","1","tile_l",0,52.1853079197835,50.006861450524,54.363754389043,0.999
"Euk_049","1","tile_l",1,24.2746193544507,23.9034302917659,24.6458084171355,0.999
"Euk_049","1","tile_l",2,18.1759022505633,17.6989180795817,18.6528864215449,0.999
"Euk_052","1","tile_l",0,35.3214779231461,33.5491933509497,37.0937624953425,0.999
"Euk_052","1","tile_l",1,20.8573825569917,20.5852320058317,21.1295331081517,0.999
"Euk_052","1","tile_l",2,18.2113563463035,17.8416630087778,18.5810496838291,0.999
"Euk_059","1","tile_d",0,46.3726429432133,43.3004649128367,49.4448209735899,0.999
"Euk_059","1","tile_d",1,17.7108264435814,17.2801473140697,18.1415055730931,0.999
"Euk_059","1","tile_d",2,13.3025901728206,12.9247479352525,13.6804324103888,0.999
"Euk_064","1","sediment_20",0,108.241974652296,106.857155834118,109.626793470474,0.999
"Euk_064","1","sediment_20",1,62.128502809622,61.420194340096,62.8368112791479,0.999
"Euk_064","1","sediment_20",2,48.4161100330918,47.6640094389508,49.1682106272328,0.999
"Euk_066","1","sediment_20",0,64.6554294888685,64.1524385541424,65.1584204235946,0.999
"Euk_066","1","sediment_20",1,45.9334551522806,45.4025139206112,46.4643963839501,0.999
"Euk_066","1","sediment_20",2,35.6496278417024,34.8300397785453,36.4692159048595,0.999
"Euk_079","1","leaf",0,15.4660469837511,14.5052758362925,16.4268181312097,0.999
"Euk_079","1","leaf",1,8.76118464153618,8.48864644716832,9.03372283590404,0.999
"Euk_079","1","leaf",2,7.19506880476693,6.92260476853856,7.4675328409953,0.999
"Euk_080","1","leaf",0,17.3390989460724,16.1220288372257,18.556169054919,0.999
"Euk_080","1","leaf",1,8.77095154402428,8.58494444477045,8.95695864327811,0.999
"Euk_080","1","leaf",2,7.71021999886597,7.50626918289393,7.91417081483802,0.999
"Euk_081","1","leaf",0,24.6699898186531,23.7155598770247,25.6244197602814,0.999
"Euk_081","1","leaf",1,15.3163185463542,15.0365650891582,15.5960720035501,0.999
"Euk_081","1","leaf",2,12.2153885441311,11.8501123624094,12.5806647258528,0.999
"Euk_083","1","leaf",0,24.7456708053612,23.671658119094,25.8196834916285,0.999
"Euk_083","1","leaf",1,14.181395048471,13.952525167399,14.410264929543,0.999
"Euk_083","1","leaf",2,12.4257505453537,12.1943389346384,12.6571621560691,0.999
"Euk_086","1","leaf",0,93.7498781123251,90.8109630671794,96.6887931574709,0.999
"Euk_086","1","leaf",1,37.9900816533271,37.4396289612706,38.5405343453837,0.999
"Euk_086","1","leaf",2,28.4482235376593,27.9155895270821,28.9808575482365,0.999
"Euk_101","1","sediment_5",0,196.322666775474,193.29620271723,199.349130833719,0.999
"Euk_101","1","sediment_5",1,73.1577233869168,72.2508995903926,74.064547183441,0.999
"Euk_101","1","sediment_5",2,45.461382267244,44.3359093527267,46.5868551817614,0.999
"Euk_102","1","sediment_5",0,281.282373111252,277.9301400622,284.634606160304,0.999
"Euk_102","1","sediment_5",1,138.779763001137,137.606634581319,139.952891420955,0.999
"Euk_102","1","sediment_5",2,92.4868727599609,90.8237505372,94.1499949827217,0.999
"Euk_104","1","sediment_5",0,553.418963379808,546.557936768176,560.279989991439,0.999
"Euk_104","1","sediment_5",1,136.72150096315,135.371060776642,138.071941149659,0.999
"Euk_104","1","sediment_5",2,91.4269000044215,90.2969223948901,92.556877613953,0.999
"Euk_105","1","sediment_5",0,414.159836491696,409.750938415449,418.568734567944,0.999
"Euk_105","1","sediment_5",1,211.116384518488,209.721949648682,212.510819388293,0.999
"Euk_105","1","sediment_5",2,147.250791422397,145.336499246368,149.165083598427,0.999
"Euk_108","1","sediment_5",0,64.9543095745886,64.3234141014614,65.585205047716,0.999
"Euk_108","1","sediment_5",1,50.5757028847504,50.2063820346397,50.9450237348611,0.999
"Euk_108","1","sediment_5",2,43.216796427187,42.6233005952669,43.810292259107,0.999
"Euk_124","1","tile_l",0,37.6463702434543,35.9690766567073,39.3236638302014,0.999
