ASV	Kingdom
bac_48577e901e3c3c456e51cbc42d9e1787	d__Bacteria
bac_13aa4b30a45dad70c3ed431c8c184c6c	d__Bacteria
bac_eb36645d7872c6e957cb1a751885e92e	d__Bacteria
bac_68ffca37ae5925e5728873bc560f3f68	d__Bacteria
bac_581fb68a5a79dbbb31bfaa8ed3d789f4	d__Bacteria
bac_a51aabc18b8d13346756da5cba58b9f7	d__Bacteria
bac_5076e54a5b161b6fbbbe8f6c43eff9fa	d__Bacteria
bac_a5a83795c19d4850bbdfb7ee179e1a58	d__Bacteria
bac_ac027d8720c821776376a5ea332f8ff5	d__Bacteria
bac_e440872f4b92093030e88bafefb016f9	d__Bacteria
bac_ceef01c0f52effc28e4791ff939aa4df	d__Bacteria
bac_b25c21270199cc7e624f8fa2beaa1052	d__Bacteria
bac_ecdf1e0b7206cb6e5965471c7a7dda9d	d__Bacteria
bac_09a03a3d29755a61943d26440831bd38	d__Bacteria
bac_90a634fef584638a5861ac4f26074d88	d__Bacteria
bac_e92cb07172d567b05a3f668c34ca16a3	d__Bacteria
bac_6d8f31f63c5e69c3e877edf2757ab015	d__Bacteria
bac_db5e75aa69dc12d2c0b20c2e918d5bff	d__Bacteria
bac_b454a93768124af9d6a93073e7eb1e4d	d__Bacteria
bac_8f0130c75c621be2fa74ea558b46ff5e	d__Bacteria
bac_618f7008be6bd049df1ea7581d394ab9	d__Bacteria
bac_2422db020a19edf8d6a19babefd48aef	d__Bacteria
bac_30481a5d312e05b559fe9156b8f0abee	d__Bacteria
bac_84068407639bc84d47f40015221ea4e4	d__Bacteria
bac_340a48970e248a368a25e7a4f0943b38	d__Bacteria
bac_840bde91c031948aaa5f8312a3d4d62d	d__Bacteria
bac_4396b241079dfac056c09bd88cdd9963	d__Bacteria
bac_3045f8d0eb7332c151789dc0670aeac3	d__Bacteria
bac_642d2a43a0d5f6a1be11918cbcc13fca	d__Bacteria
bac_3b55620dcd43cf9c3b1362028ffe2da3	d__Bacteria
fun_0159fbde605b8b7ea2b1304bfd276b82	Fungi
fun_0167ba52b37db72a6e74b1ffdf1e8c7c	Fungi
fun_01eac8bbcb29488982fcff6a1bc04847	Fungi
fun_02366a28671be3d5b7de54f132fdabe0	Fungi
fun_0524318733f878058e4606b2306dc1a5	Fungi
fun_06cfcbf25674fdf39cf677004d947765	Fungi
fun_06e6ea6ae4b943568ace88db8128520b	Fungi
fun_06f8d41be81eaee8ce118fd6a6917570	Fungi
fun_0729e9fcffd1962b7a39b3d93902e0f3	Fungi
fun_09f70a3943cbdf8905cd01a456c50098	Fungi
fun_0a78cfc5f61db7e320fd3b2466e8d884	Fungi
fun_0aa84d7f105e25afc127f6dd778d8ca6	Fungi
fun_0c71d1a914a5652a162cb96453c9c31d	Fungi
fun_0caff3ea96200df0218aa344b0f3dc1e	Fungi
fun_0cbb44bb9bc91c77e8f74ad2ace1d58c	Fungi
fun_0cefc2f0bcb2fe7c323cb28ac235e7d7	Fungi
fun_0d31e3334880aee4eb26713a0e4104a5	Fungi
fun_0e4a4b1cd4283317ad2fe0dc25a07b9d	Fungi
fun_0e9e31f5b9fc1235aaa1f8238c384a26	Fungi
fun_0f2391ae814368a77e456e4357192e31	Fungi
fun_0f32da71e26972640eb84b6a3fcc774e	Fungi
fun_10b7a3ca6b1444c66f3b28fed3f26c99	Fungi
fun_118c0ccd7f3578d17e0db218e80ec7ba	Fungi
fun_125198c1c805330221b886a492c2c4c6	Fungi
fun_1291d36523a6c20f273c7e5c4496df94	Fungi
fun_12b1abb4808bf2b265863e72f762a584	Fungi
fun_1455565e7c2198d1f5f87a6915b8e5a2	Fungi
fun_1949eec497be87ab032fa3316b754479	Fungi
fun_1a4c8a00ffd3e3463eba4bb201d91747	Fungi
fun_1b9d7859cdab8b86d6b8b62f84b1334d	Fungi
fun_1c402e380e09d35cfb2c8852e229f8a9	Fungi
fun_1c44ba6433bec9b7aff23fb35d73b03b	Fungi
fun_1c676f4ebdcb691f888fa38f57182cef	Fungi
fun_2065255edb28245468bc8518f66b4742	Fungi
fun_210459b7b6a2a456b09f184f6d939bc8	Fungi
fun_21374689d42d16d788e3396df574d047	Fungi
fun_214a4f3065fc3759698e72be652c9a34	Fungi
fun_2158fe2489e1b9614d067a49c9384d32	Fungi
fun_2180096d9fae52c2811c7cd308dbd207	Fungi
fun_22d760b5ec59a5f4627ad7dd81871970	Fungi
fun_2371d49a803099d8e644da25bb974f68	Fungi
fun_23740c3775b854c52cdd2e3ec2b940e2	Fungi
fun_23d38fc6ca5b5310dd498f79ef490349	Fungi
fun_24748da7031194752cdf0424cc549d7d	Fungi
fun_250faf103554228cad8216e1e460fbb5	Fungi
fun_272443635e47bb81359b7a9340b5a7ae	Fungi
fun_277ab749a662c377adefa6a032102c63	Fungi
fun_286a6e26cac82848def0b0d2c83577c8	Fungi
fun_29086701d1f5919659e2739cc0a37d82	Fungi
fun_2a36166a3e8c57be47ff72951a9274f3	Fungi
fun_2bab4593bcd7c556ff6027b87b2f296b	Fungi
fun_2c0f51e54f8a497135bb1bcbb8650032	Fungi
fun_2d22ab2c6ddb63e71fce2897076dd31e	Fungi
fun_2f193ba4d56d6ca5c5067ca0dc12388e	Fungi
fun_2f60b972271a751f58655719fc6e6cff	Fungi
fun_2fd4823aefdc5d0cff20c9b343f59dfa	Fungi
fun_312d2c41e878eee9e2aa0950d232cb8e	Fungi
